"","Year","Region","Species","month","catch"
"1","2013","Guanacaste","PARGO","Jan",172
"2","2013","Guanacaste","PARGO","Jan",7535
"3","2012","Guanacaste","PARGO","Jan",883
"4","2012","Guanacaste","PARGO","Jan",4025
"5","2011","Guanacaste","PARGO","Jan",1406
"6","2011","Guanacaste","PARGO","Jan",4874
"7","2010","Guanacaste","PARGO","Jan",NA
"8","2010","Guanacaste","PARGO","Jan",5147
"9","2009","Guanacaste","PARGO","Jan",NA
"10","2009","Guanacaste","PARGO","Jan",2905
"11","2008","Guanacaste","PARGO","Jan",NA
"12","2008","Guanacaste","PARGO","Jan",3542
"13","2007","Guanacaste","PARGO","Jan",2827
"14","2006","Guanacaste","PARGO","Jan",9582
"15","2005","Guanacaste","PARGO","Jan",13732
"16","2004","Guanacaste","PARGO","Jan",10056
"17","2003","Guanacaste","PARGO","Jan",8440
"18","2002","Guanacaste","PARGO","Jan",16733
"19","2001","Guanacaste","PARGO","Jan",20713
"20","2000","Guanacaste","PARGO","Jan",14109
"21","1999","Guanacaste","PARGO","Jan",31052
"22","1998","Guanacaste","PARGO","Jan",5857
"23","1997","Guanacaste","PARGO","Jan",17452
"24","1996","Guanacaste","PARGO","Jan",23419
"25","1995","Guanacaste","PARGO","Jan",27670
"26","1994","Guanacaste","PARGO","Jan",34929
"27","1993","Guanacaste","PARGO","Jan",29835
"28","1992","Guanacaste","PARGO","Jan",27734
"29","1991","Guanacaste","PARGO","Jan",15472
"30","1990","Guanacaste","PARGO","Jan",18306
"31","2013","Guanacaste","PARGO","Feb",13
"32","2013","Guanacaste","PARGO","Feb",8247
"33","2012","Guanacaste","PARGO","Feb",1550
"34","2012","Guanacaste","PARGO","Feb",4234
"35","2011","Guanacaste","PARGO","Feb",777
"36","2011","Guanacaste","PARGO","Feb",1828
"37","2010","Guanacaste","PARGO","Feb",120
"38","2010","Guanacaste","PARGO","Feb",5955
"39","2009","Guanacaste","PARGO","Feb",NA
"40","2009","Guanacaste","PARGO","Feb",2894
"41","2008","Guanacaste","PARGO","Feb",57
"42","2008","Guanacaste","PARGO","Feb",4974
"43","2007","Guanacaste","PARGO","Feb",2747
"44","2006","Guanacaste","PARGO","Feb",10335
"45","2005","Guanacaste","PARGO","Feb",15127
"46","2004","Guanacaste","PARGO","Feb",10273
